"","block","image","condition","direction","subject","response","correct","switch","switchType","rt","participant_number_fl","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude"
"1680","test","con_right.jpg","congruent","right",20032344,"right",1,1,"xc",1.58,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1681","practice","left_fish.jpg","null","left",20032345,"left",1,NA,NA,1.492,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1682","practice","right_fish.jpg","null","right",20032345,"right",1,NA,NA,0.848,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1683","practice","bowl.jpg","null",NA,20032345,NA,0,NA,NA,-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1684","practice","right_fish.jpg","null","right",20032345,"right",1,NA,NA,1.048,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1685","practice","bowl.jpg","null",NA,20032345,NA,0,NA,NA,-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1686","practice","left_fish.jpg","null","left",20032345,"left",1,NA,NA,1.012,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1687","practice","con_left_practice.jpg","congruent","left",20032345,"left",1,NA,NA,1.999,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1688","practice","in_left_practice.jpg","incongruent","left",20032345,"right",0,1,"ci",1.399,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1689","practice","con_right_practice.jpg","congruent","right",20032345,"right",1,1,"ic",2.146,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1690","practice","nogo_right_practice.jpg","nogo","right",20032345,NA,1,1,"cx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1691","practice","in_right_practice.jpg","incongruent","right",20032345,"right",1,1,"xi",1.597,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1692","practice","nogo_left_practice.jpg","nogo","left",20032345,NA,1,1,"ix",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1693","test","con_left.jpg","congruent","left",20032345,"left",1,NA,NA,1.578,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1694","test","con_right.jpg","congruent","right",20032345,"right",1,0,"cc",0.913,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1695","test","nogo_left.jpg","nogo","left",20032345,NA,1,1,"cx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1696","test","nogo_left.jpg","nogo","left",20032345,NA,1,0,"xx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1697","test","in_right.jpg","incongruent","right",20032345,"right",1,1,"xi",1.279,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1698","test","in_left.jpg","incongruent","left",20032345,"left",1,0,"ii",1.298,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1699","test","con_right.jpg","congruent","right",20032345,"right",1,1,"ic",1.264,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1700","test","con_right.jpg","congruent","right",20032345,"right",1,0,"cc",1.681,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1701","test","in_right.jpg","incongruent","right",20032345,"right",1,1,"ci",1.214,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1702","test","in_left.jpg","incongruent","left",20032345,"left",1,0,"ii",1.381,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1703","test","nogo_right.jpg","nogo","right",20032345,NA,1,1,"ix",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
